id,question,answer
0,Where is my order?,"You can track your order by using the tracking link sent to your email after shipment. Tracking updates may take 24–48 hours to appear."
1,How long does delivery take?,"Standard delivery takes 3–7 business days depending on your location. Express shipping takes 1–3 business days."
2,Can I cancel my order?,"You can cancel your order only before it has been shipped. Once shipped, cancellation is no longer possible, but you may request a return."
3,How do I request a refund?,"To request a refund, go to your order details page and click 'Request Refund'. Refunds are processed within 5–10 business days after approval."
4,My item arrived damaged. What should I do?,"Please report the issue within 48 hours of delivery and upload photos of the damaged item. We will process a replacement or refund after verification."
5,Can I change my shipping address?,"You can change your shipping address only before the order is shipped by going to your order details and selecting 'Edit Address'."
6,Why is my tracking not updating?,"Tracking may take 24–48 hours to update after shipment. If there is no update after 3–5 days, please contact support."
7,Do you offer replacements?,"Yes, we offer replacements for damaged, defective, or incorrect items reported within 7 days of delivery."
8,Where can I find my order ID?,"Your order ID can be found in your confirmation email and under the 'My Orders' section in your account dashboard."
9,What courier do you use?,"We work with multiple shipping partners depending on your location. The courier details will appear once your order has been shipped."